Stop Name,Longitude,Latitude
Gwanghwamun Station,126.9769298,37.568634
Myeongdong,126.985615,37.56076
Namsangol Hanok Village,126.99254,37.560936
Ambassador Hotel,127.002597,37.560481
Shilla Hotel,127.005364,37.558333
N Seoul Tower,126.991111,37.550995
Hyatt Hotel,126.997188,37.540892
Dongdaemun Design Plaza,127.008647,37.566866
Daehak-ro,127.002153,37.581868
Changgyeonggung Palace,126.996465,37.579198
Changdeokgung Palace,126.990176,37.577568
"Insa-dong, Bukchon",126.983757,37.575918
Cheongwadae (or Blue House),126.97378,37.582697
"Gyeongbokgung Palace, Folk Museum, Museum of Contemporary Art",126.979861,37.580191
Sejong Centre for the Performing Arts,126.976481,37.572674
,126.9770106,37.5687107
,126.9771125,37.5651773
,126.9770455,37.564988
,126.9773807,37.5648902
,126.9785368,37.564937
,126.9812351,37.5619562
,126.9813316,37.5618414
,126.9817554,37.5608038
,126.9821256,37.5606635
,126.982603,37.5605657
,126.9845718,37.5607655
,126.9875034,37.5610334
,126.9878682,37.5610143
,126.988866,37.5610972
,126.9925647,37.5610568
,126.9933506,37.5610844
,126.9984093,37.5622071
,127.0019417,37.5630405
,127.0026203,37.5626557
,127.0028859,37.5593707
,127.0029261,37.5591453
,127.0031621,37.559022
,127.0036208,37.5589625
,127.0049579,37.5590443
,127.0052033,37.5589795
,127.005556,37.558904
,127.0056164,37.5588296
,127.0056754,37.5586722
,127.0056888,37.5584681
,127.004581,37.5564981
,127.0041586,37.555722
,127.0039775,37.5554392
,127.0034398,37.5548597
